sd,pd,os,bs,target_co_simplified,target_pr_simplified
[designer] deferred events issue,Papyrus,Linux,UNCONFIRMED,Other,P3
exception access violation,Platform,Windows 10,CLOSED,SWT,P3
job on ci.eclipse.org/xtext does not start,Community,Linux,CLOSED,CI-Jenkins,P3
showinmenu does not provide command parameters from menu contributions,Platform,All,RESOLVED,UI,P3
disable or remove ci control block/widget for cluster-based (jiro) jipps,Community,Linux,CLOSED,Other,P3
validationservice can only validate a collection of objects,ECP,All,CLOSED,Other,P2
removing a system module should be possible even if it is (indirectly) required,JDT,All,RESOLVED,UI,P3
dump creation,openj9,Windows 10,RESOLVED,General,P3
add user/pass and encryption capabilities for opc ua clients,4DIAC,Windows 10,CLOSED,Other,P3
console overlaps with other tools,JDT,Mac OS X,NEW,Debug,P3
text block causes content assist to fail,JDT,Windows 7,NEW,UI,P3
releng jipp not reachable,Community,Linux,CLOSED,CI-Jenkins,P3
org.eclipse.rcp misses dependency to org.eclipse.jface.text,Platform,All,RESOLVED,Text,P3
releng jipp is returning code 502,Community,Mac OS X,CLOSED,CI-Jenkins,P3
[datetime] rap crashes in the browser when using a dropdown datetime in a certain way,RAP,All,RESOLVED,Other,P1
xml wizard namespace perfix not overtaken from xsd,WTP Source Editing,Windows 10,NEW,Other,P3
nullpointerexception in lsp4e,lsp4e,Windows All,RESOLVED,General,P3
deploy ecj compiler of 4.14m2 and use it for 4.14 build,Platform,Windows 7,RESOLVED,Releng,P3
filtering in quick switch editor (ctrl+e) not working correctly,Platform,Windows 10,RESOLVED,UI,P3
restore defaults not working correctly in step filtering preferences,JDT,All,VERIFIED,Debug,P3
wrong insertion of postfix template,JDT,All,NEW,Core,P3
keyple project - request to create an additional repository,Community,Windows 10,CLOSED,GitHub,P3
[hidpi][cocoa] gc.copyarea(image) broken since bug 489451,Platform,Mac OS X,VERIFIED,SWT,P3
[i18n] externalized keys displayed in progress monitor of changeviewpointselectioncommand,Sirius,Mac OS X,CLOSED,Core,P3
[tycho-surefire] could not determine test framework provider when <failifnotests>false</failifnotests>,z_Archived,Linux,CLOSED,Tycho,P3
[keybindings] adding keybindings which have a prefix that is also a stand-alone keybinding disables the latter one,Platform,Linux,REOPENED,UI,P3
re-launch: termination is performed even if new launch is cancelled,Platform,All,NEW,Debug,P3
[keybindings] missing commands from a scheme are not properly inherited,Platform,Linux,RESOLVED,UI,P3
[viewers] treeviewer performance issues with lazy loading content provider,Platform,Windows 7,NEW,UI,P3
"attempting to expand nodes for strings found in minified css and js files in the search view, will cause the ui to stop responding",Platform,Linux,CLOSED,UI,P3
init and run commands should support commented lines (lines starting with #),CDT,All,RESOLVED,Other,P3
"bug 159157 is not ""verified fixed""",JDT,Windows 10,CLOSED,Text,P3
npe with first parent,JGit,Linux,RESOLVED,JGit,P3
add plugin to jipp of project ditto (hipp6),Community,Windows 10,CLOSED,CI-Jenkins,P3
[qvti] rename check/enforce as input/output,QVTd,Windows 10,RESOLVED,Core,P3
cannot multi-open files in team synchronising perspective,z_Archived,Windows 10,NEW,Other,P3
[oi2jiro] migration of releng jipp to new ci infrastructure,Community,Linux,CLOSED,CI-Jenkins,P3
"duplicated ""show in"" on php projects in 2019-09",z_Archived,All,CLOSED,Other,P3
fix problem of p2 sites,Ease,All,NEW,General,P3
"check for updates - ""git integration for eclipse"": an error occurred while collecting items to be installed - better error message",Equinox,Linux,RESOLVED,Other,P3
[key binding] remove bindings for platform 'carbon',JDT,Mac OS X,CLOSED,UI,P3
lower platform dependencies to support older versions,Ease,All,CLOSED,Core,P3
too many open files when fetching repos with lots of refs,JGit,Mac OS X,RESOLVED,JGit,P3
column number ellipsed (truncated) in status bar,Platform,Windows NT,CLOSED,UI,P3
[performance] avoid bean introspection overhead,Platform,All,ASSIGNED,UI,P3
[tools] application model editor: jump to list entries,Platform,Windows 10,RESOLVED,UI,P3
[1.8] cannot infer type argument for diamond instantiation and method reference,JDT,Windows 10,ASSIGNED,Core,P3
rust preferences mishandles utf8 paths,EPP,Windows 10,RESOLVED,Other,P3
moduleselectiondialog trips over non-java project,JDT,All,RESOLVED,UI,P3
[website] download section needs an update to 1.11.0,4DIAC,Windows 7,CLOSED,Other,P3
"[robotics, properties] restructure and bug fixes",Papyrus,All,RESOLVED,Other,P3
[robotics] it should be possible to cancel commands,Papyrus,All,RESOLVED,Other,P3
improve compatibility with old target platforms,Ease,All,CLOSED,Core,P3
'eclipse theia' project displays incorrect statistics and graphs,Community,Linux,RESOLVED,Other,P3
bad performance of filesystemresourcemanager.write(ifile),Platform,All,RESOLVED,Other,P3
rcp-application crashes using msctf.dll,Platform,Windows 10,CLOSED,SWT,P3
emf 2.18 - regression in itemproviders jet templates,EMF,Mac OS X,CLOSED,Other,P3
context menu in shopping basket is not displayed correctly,MDMBL,All,CLOSED,General,P3
improve eclipse ide description on eclipse.org/ide,Community,All,RESOLVED,Website,P3
include path removed when switching branch. unable to recover from latest commited .cproject file,CDT,Windows 10,RESOLVED,Other,P3
stop building ruby module,DLTK,Linux,RESOLVED,Other,P3
eclipse internal error,EPP,Windows 10,RESOLVED,Other,P3
show warning in manifest when a bundle's dependencies have higher bree than the bundle itself,PDE,Linux,VERIFIED,UI,P3
move codestylecleanup and codestylefix to jdt core for jdt.ls,JDT,Linux,VERIFIED,UI,P3
"project with --patch-module in .classpath cannot be run due to ""sut specified more than once to --patch-module""",JDT,All,RESOLVED,Debug,P3
exception is thrown when navigating to cmake tab on project properties,CDT,Linux,NEW,Other,P3
nullability analysis fails for generic-typed field,JDT,Linux,VERIFIED,Core,P3
decisiontabletest.java autogenerated (drools) works on windows but not mac,JDT,Mac OS X,NEW,Core,P3
eclipse 2019-09 closes without error when using windowbuilder,Platform,Windows 10,RESOLVED,SWT,P3
git configuration issues on releng jipp,Community,Windows 10,CLOSED,CI-Jenkins,P3
"i can not open eclipse , i",Equinox,Mac OS X,RESOLVED,Other,P3
jvm crash when clicking to edit a cell in properties view,Platform,Windows 10,CLOSED,SWT,P3
sql console error,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
elements to select expression behavior is not compliant with the documentation,Sirius,Windows 10,NEW,Diagram,P3
[keybindings] umbrella bug to track current keybinding problems,Platform,Linux,NEW,UI,P3
[gtk] tree with swt.measureitem crashes,Platform,Linux,VERIFIED,SWT,P3
design tab won't be drawn for viewpart due to java.lang.illegalargumentexception,z_Archived,Windows 10,RESOLVED,Other,P3
add me to default cc of gemoc bugzilla,Community,Linux,RESOLVED,Other,P3
gradle - displayed page contains invalid values,Buildship,Windows 10,UNCONFIRMED,General,P3
character problem after windows update,Platform,Windows 10,CLOSED,IDE,P3
aioobe in dircachetree.namecmp,JGit,Windows NT,NEW,JGit,P3
[gtk3] tree: excessive flickering,Platform,Linux,VERIFIED,SWT,P3
illegalargumentexception in compareinputresourceprovider,TMF,Windows 10,NEW,Other,P3
request website for project: iceoryx,Community,Windows 10,RESOLVED,Website,P3
[sequencediagram] delete of behaviourexecutionspecification in sequence diagram causes a crashed/empty uml file,Papyrus,Windows 7,ASSIGNED,Diagram,P3
memory leak with swt browser,Platform,Windows 10,NEW,SWT,P3
open resource with not listing generic editor,Platform,Linux,CLOSED,Other,P3
remove obsolete css for quick search control,Platform,Linux,RESOLVED,UI,P3
[cocoa]  npe in menu._setvisible when clicking a menuitem of a disposed menu,Platform,Mac OS X,NEW,SWT,P3
adding a new member to the eclipse iot steering committee mailing list (iot-sc),Community,Windows 10,RESOLVED,Other,P3
fix broken build related to bundles whose brees still target 1.4,WTP Webservices,Mac OS X,CLOSED,Other,P3
declare a github account as a contributor of the eclipse keyple project,Community,Windows 10,CLOSED,GitHub,P3
[sequencediagram] use of message found in sequence diagram cause leads blocked diagram elements after save and reopen,Papyrus,Windows 7,RESOLVED,Diagram,P3
[proposal] technology.mosaic,Community,Mac OS X,NEW,Proposals and Reviews,P3
[trademark] trademark approval required for eclipse mosaic,Community,Mac OS X,RESOLVED,Other,P3
[designer] [real-time] fix relative deadline computation,Papyrus,All,RESOLVED,Other,P3
underscore styling should not apply inside words,Mylyn Docs,All,RESOLVED,Other,P3
mandatory to specify optional fields in default values of record in function parameters,z_Archived,Windows 10,CLOSED,Other,P3
[quick fix] add quick fix for unnecessary array creation,JDT,Linux,VERIFIED,UI,P3
call to pthread_create() causes debug session to terminate.,CDT,Windows 7,CLOSED,Other,P3
repository properties page flickers,EGit,Windows 10,NEW,UI,P3
mark speaker as attending eclipsecon,Community,All,RESOLVED,Other,P3
[dark theme] title bar of eclipse and popups should be dark in dark theme,Platform,Windows 10,CLOSED,SWT,P3
"silly errors in log: ""your application model still contains a deprecated xyz instance""",Platform,Windows 10,CLOSED,UI,P3
remove wizard and dialogs from model,Platform,Linux,RESOLVED,UI,P3
"rename ""text editor"" to ""simple text editor"" and ""generic text editor"" to ""text editor"" to guide the user in using the better text editor",Platform,Linux,NEW,Text,P3
[tests] generated ocl2qvti input/output test files are not loadable,QVTd,Windows 10,NEW,Core,P3
security warning for unsigned content dialog should not use an error icon,Equinox,Linux,RESOLVED,Other,P3
adding good starting tip similar to android studio,Platform,Linux,RESOLVED,Other,P3
provide support for reporting on marketplace.eclipse.org,Oomph,Windows 7,NEW,Other,P3
untyped subapps break deleting of fbs,4DIAC,All,CLOSED,4DIAC-IDE,P3
[9][model] api to get a project's module disregarding --patch-module,JDT,All,VERIFIED,Core,P3
patch with ... doesn't offer projects that already declare patching in their own build path,JDT,All,RESOLVED,UI,P3
java doc error in i20191019-1800,Platform,All,CLOSED,UI,P3
java-2019-12: do you trust expired root certificate?,Orbit,Windows 10,RESOLVED,Other,P3
[qvtr] support typedmodel inheritance,QVTd,Windows 10,NEW,Core,P3
[qvtr] support explicit typedmodel sequencing,QVTd,Windows 10,NEW,Core,P3
use same eclipse licence for jgit and egit,EGit,Linux,CLOSED,UI,P3
[qvti] eliminate imperativetypedmodel isinput/isoutput,QVTd,Windows 10,RESOLVED,Core,P3
code recommenders cannot download its repository index,JDT,Mac OS X,RESOLVED,Core,P3
draging transitions leads to devision by zero errors,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
shortcut for zoom-in does not work on macos,Platform,Mac OS X,NEW,UI,P3
increase selected connection/transition width and endpoint sizes,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
"""oracle jdk 12"" link in ""java missing"" page no longer offers version 12",Oomph,All,VERIFIED,Other,P3
gerrit events not triggering builds for webtools,Community,All,CLOSED,CI-Jenkins,P3
flaky signer,CBI,Windows 10,CLOSED,Other,P3
[releng] unstable https://download.eclipse.org/modeling/tmf/xtext/updates/composite/nightly,TMF,Windows 10,RESOLVED,Other,P3
[windows 10] nondeterministic jvm crash in propertiesview,Platform,Linux,CLOSED,SWT,P3
"pod template works with one image, but not another",Community,Linux,RESOLVED,CI-Jenkins,P3
"[jar-sigining] before failing to sign because of a failing tsa, try a couple of other before returning",CBI,Mac OS X,CLOSED,Other,P3
[search][call hierarchy] colour search results by type,JDT,All,ASSIGNED,UI,P3
cannot open sql console in eclipse,Platform,Windows 10,CLOSED,IDE,P3
"[robotics, examples] reorganize examples according to new naming conventions",Papyrus,All,RESOLVED,Other,P3
eca failure message not helpful,Community,Mac OS X,NEW,Other,P3
compilation error for legal generics code(jdk 11),JDT,Windows 10,NEW,Other,P3
[gtk3] some views are not repainting properly,Platform,Linux,RESOLVED,SWT,P3
regression - the eclipse installer executable was unable to locate its companion shared library.,Oomph,Linux,RESOLVED,Other,P3
why does egit ignore local hooks?,EGit,Windows 10,CLOSED,Core,P3
[win32] virtual table becomes visible upon setitemcount,Platform,Windows 10,NEW,SWT,P3
when to extends and override methods of webmvcconfigurationsupport class in custom configuration class there is no longer hibernate transactional session available for lazy initialization.,JDT,Linux,NEW,Other,P3
add project explorer to the java perspective,JDT,Linux,NEW,UI,P3
[fonts] make variable font inherit from text font,Platform,All,CLOSED,Debug,P3
javapartitionermanager leaks memory leading to oom,JDT,All,VERIFIED,UI,P3
refactor unnecessarycodecleanup for use by jdt.ls,JDT,Linux,VERIFIED,UI,P3
create patch after selecting location reselects the clipboard option,Platform,Windows 10,CLOSED,Other,P3
[proposal] tools.secoblocks,Community,Mac OS X,RESOLVED,Proposals and Reviews,P3
[mentors] mentor required for smart contract ide for blockchain developers,Community,Mac OS X,RESOLVED,Other,P3
"add ""arduino avr boards"" does not work on macos",CDT,Mac OS X,CLOSED,Other,P3
[trademark] trademark approval required for eclipse seco blocks,Community,Mac OS X,RESOLVED,Other,P3
jgit does not return the requested subkey,JGit,All,RESOLVED,JGit,P3
"some commands are no longer available in the new ""find actions""",Platform,All,RESOLVED,UI,P3
"find actions ""see all"" doesn't work with some windows keyboard layouts",Platform,Windows All,NEW,UI,P3
performance degradation of ci.eclipse.org/xtext,Community,Mac OS X,CLOSED,CI-Jenkins,P3
"tycho-buildtimestamp-jgit 1.5 reports modified files, 1.4 does not",z_Archived,Windows 10,CLOSED,Tycho,P3
swt-increment_if_needed job failed with permission denied (publickey).,Community,All,CLOSED,CI-Jenkins,P3
profilebundlecontainer#resolvebundles: parallelize creation of targetbundles,PDE,All,VERIFIED,UI,P3
profilebundlecontainer#resolvebundles: parallelize creation of targetbundles,PDE,All,CLOSED,UI,P3
size of description text does not fit the dialog,Oomph,Linux,RESOLVED,Other,P3
"restart dialog - replace ""ok"" with restart",Oomph,All,RESOLVED,Other,P3
bundle pool management - use user facing terminology,Oomph,Linux,RESOLVED,Other,P3
"avoid showing ""back"" on the first page of a wizard",Platform,All,RESOLVED,UI,P3
[release] locationtech.geotrellis 3.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
certificates look weirdly formatted (for example in oomph),Equinox,Linux,NEW,Other,P3
error during setup,Oomph,Linux,RESOLVED,Other,P3
unable to fetch patches from gerrit if content assist key binding is broken,EGit,All,RESOLVED,UI,P3
"[robotics, profile] validation errors",Papyrus,All,RESOLVED,Other,P3
use a better job description for replace computing prerequisite plan: receiving objects / resolving deltas,Oomph,Linux,RESOLVED,Other,P3
java.io.ioexception: no space left on device on capella jipp,Community,Linux,CLOSED,CI-Jenkins,P3
"move db4o, hibernate and objectivity support to cdo.old",EMF,Windows 7,CLOSED,Other,P3
remove ant task from p2.director.app build commands,Equinox,Linux,RESOLVED,Other,P3
menu contributions to context menu in debug view missing on 4.13,Platform,All,RESOLVED,UI,P3
move unused dawn components to cdo.old,EMF,Windows 7,CLOSED,Other,P3
bundle pool management - only available in simple mode,Oomph,Linux,RESOLVED,Other,P3
need a checklist to make sure platform builds are not impacted,Community,All,CLOSED,CI-Jenkins,P3
dnd from setup file located in the ide onto installer results in error,Oomph,Linux,RESOLVED,Other,P3
in place table cell editing does not work in 4.13 on linux (fedora 29),Platform,Linux,RESOLVED,UI,P3
dnd from setup file located in the web onto installer results in error,Oomph,Linux,CLOSED,Other,P3
caret disappears when autocompleting,Platform,Linux,NEW,SWT,P3
no way to see the talks of a speaker via speakers page,Community,Windows 10,NEW,Other,P3
[passage] provide design for domain models,Passage,Windows 10,RESOLVED,General,P3
add the minimap view to the list of show in targets,WTP Source Editing,Mac OS X,RESOLVED,Other,P3
[passage] provide design for the main flow,Passage,All,CLOSED,Other,P3
[gtk] in-place spinner as table editor not usable in plugin configuration dialog,Platform,Linux,VERIFIED,SWT,P3
"[xpath] stringmodelfragmentimpl.mergexpath: improve for xpath ""/""",Platform,All,RESOLVED,UI,P3
default repository folder is empty and can't be set,Platform,All,VERIFIED,UI,P3
npe from quicksearchquickaccesscomputer.computeelements,Platform,All,RESOLVED,Text,P3
opening platformui.setup results in errors with the oomph editor,Platform,All,RESOLVED,Releng,P3
debug view hangs ui for extended periods,Platform,All,RESOLVED,Debug,P3
fieldeditor should not use preference store field directly,Platform,All,VERIFIED,UI,P1
[gtk] inline editing not visible until i switch rows,Platform,Linux,CLOSED,SWT,P3
[13] use semantic highlighting to mark the relevant region of a textblock,JDT,All,ASSIGNED,UI,P3
npe in environmentmodule,Ease,All,CLOSED,Core,P3
[cleanup & saveaction] java 1.5 tests should have their own test class,JDT,All,RESOLVED,UI,P3
c++ like comment for ansi c source code (auto comment generation),CDT,Windows 7,RESOLVED,Other,P3
temporarily remove branch protection from master branch of codewind-vscode,Community,All,CLOSED,GitHub,P3
move to tycho 1.5.1,Platform,Linux,RESOLVED,Releng,P3
cannot satisfy dependency when installing docker tooling 4.5.0.201910151606,Linux Tools,Linux,RESOLVED,Other,P3
ui for external mergetool support,EGit,All,NEW,UI,P3
[13] add support for text block in publicscanner,JDT,Mac OS X,VERIFIED,Core,P3
in subapp editor cannot delete fb,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
[passage] enable spring application support,Passage,All,ASSIGNED,Other,P3
"please create ""passage-spring"" github repository",Community,All,VERIFIED,GitHub,P3
an error has occurred. see error log for more details. org/eclipse/m2e/jdt/internal/mavenclasspathcontainersavehelper,z_Archived,Windows 10,NEW,m2e,P3
"toolbar too narrow when ""find actions"" is hidden",Platform,Windows 10,RESOLVED,UI,P3
[[qvtr] improve error tolerance,QVTd,Windows 10,NEW,Core,P3
pomless builds show incorrect project names after update to 1.5.0,z_Archived,Linux,VERIFIED,Tycho,P3
universal intro's launchbar does not use high resolution icons,Platform,All,VERIFIED,Other,P3
osgi install area calculated wrong with symlinks,Equinox,Linux,NEW,Other,P3
switching to compiler compliance above 1.8 causes compiler errors,JDT,Windows 10,VERIFIED,Core,P3
eclipse starts with some toolitems enabled when they shouldn't be,Platform,All,RESOLVED,UI,P3
update logback to 1.2.3 and slf4j to 1.7.25,Orbit,All,NEW,Other,P3
using swap in compare editor loses changes and dirty status,Platform,Windows 10,RESOLVED,Other,P3
git synchronization via ssh is extremely slow in eclipse 2019-09,EGit,Windows 10,RESOLVED,Core,P3
arduino download manager adding intel i686 boards does not complete,CDT,Linux,CLOSED,Other,P3
[propertiesviews] - constrain the scope of properties views to be local to an architecture context,Papyrus,Windows 10,CLOSED,Core,P3
codewind scan repository failed.,Community,All,CLOSED,CI-Jenkins,P3
m2e maps scope runtime to test in maven dependencies classpath container,z_Archived,Windows 7,CLOSED,m2e,P3
"rename ""rebase interactive"" view to ""interactive rebase""",EGit,Windows 10,RESOLVED,UI,P3
use title case for interactive rebase steps,EGit,Windows 10,RESOLVED,UI,P3
popupmenuextender does not handle multiple menumanager instances correctly,Platform,All,RESOLVED,UI,P3
get time-aware commit messages,Hawk,Windows 10,RESOLVED,General,P3
"clicking on event type after filtering in trace view, tracecompass crashs",Tracecompass,Windows 10,NEW,Core,P3
npe when using extract method refactoring,z_Archived,Windows 10,CLOSED,Other,P3
rename ui responsiveness monitoring to ui freeze monitoring,Platform,Linux,RESOLVED,UI,P3
[dark theme] move common settings into a common file for all os system,Platform,All,RESOLVED,UI,P3
images: png renderer produces binary diffent files for same svg files,Platform,All,RESOLVED,UI,P3
[pomless][eclipse-test] support execution/discovery of testsuites,z_Archived,Linux,CLOSED,Tycho,P3
[code mining] some mining text displayed on the same line as code,Platform,All,VERIFIED,SWT,P3
eclipse fails to start with 'org.eclipse.datatools.enablement.sybase.feature' installed,Platform,All,VERIFIED,IDE,P3
[gtk] hover can cause ui freeze on huge input string,Platform,All,NEW,SWT,P3
emptyworkspacehelper does not refresh wizards list on perspective change,Platform,Windows 10,NEW,UI,P3
[doc] document semantics of transition point,eTrice,Windows 10,RESOLVED,Other,P3
[designer] [monitoring] composite state,Papyrus,All,RESOLVED,Other,P3
[pull up] pull up a generic method in a superclass implementation stubs in other subclasses without type parameter,JDT,Linux,VERIFIED,UI,P3
reduce default weight/alpha of whitespace characters,Platform,All,CLOSED,Text,P3
[docprocessing] program (external tool) and r cmd operation uses wrong working directory,Statet,All,CLOSED,Other,P3
circular reference detected in bundle org.apache.felix.scr,Orbit,Linux,RESOLVED,Other,P3
bindremoteserviceadmin errors after start,ECF,Linux,RESOLVED,Other,P3
deprecated class instances present,e4,Linux,CLOSED,Other,P3
emfdeleteserviceimpl contradicts model's item providers,ECP,All,CLOSED,EMF Forms,P2
delete unnecessary wiki page,Community,All,RESOLVED,Other,P3
make swt and eclipse rcp apps work in snap packages,Platform,Linux,CLOSED,SWT,P3
type argument containment is too lenient when checking enclosing parameterized type,JDT,All,VERIFIED,Core,P3
"console always crashes, restart does not fix it.",Platform,Windows 10,RESOLVED,UI,P3
compiler error for outer outer instance access in local class,JDT,Linux,ASSIGNED,Core,P3
where's the oxygen download site?,Platform,Windows 10,RESOLVED,Other,P3
[rcmd-util] enable 'show command line' and 'merge output' for r cmd launch configurations,Statet,All,CLOSED,Other,P3
unable to install xmpp feature from 3.14.6 snapshot repo,ECF,Linux,RESOLVED,Other,P3
[r-osgi] allow use of asm 7.0 with version ranges,ECF,Windows 10,RESOLVED,Other,P3
update platform to jetty 9.4.22,Platform,Linux,RESOLVED,Releng,P3
[cleanup & saveaction] continue to move java 1.5 tests in their own test class,JDT,All,RESOLVED,UI,P3
remove discovery view,ECF,Windows 10,RESOLVED,Other,P3
[releng] move promotion to jenkins,EMF,Windows 7,CLOSED,Other,P3
upload/download file attachments in webclient,MDMBL,All,CLOSED,General,P3
show/edit context data based on mdm templates,MDMBL,All,CLOSED,General,P3
model mapping in atfxadapter with extsystem,MDMBL,All,CLOSED,General,P3
simple xy-chartviewer,MDMBL,All,CLOSED,General,P3
introduce user roles on the webclient,MDMBL,All,CLOSED,General,P3
[dark theme] remove special styling for main toolbar,Platform,Linux,RESOLVED,UI,P3
[dark theme] remove special styling for table in an active part stack,Platform,Linux,RESOLVED,UI,P3
[dark theme] remove special .view styling,Platform,Linux,RESOLVED,UI,P3
gpf when started with openj9,Platform,Windows 7,CLOSED,UI,P3
provide scripting module help,Tracecompass,Linux,RESOLVED,Core,P3
jnigenerator to always zero-initialize structs before filling them,Platform,Windows All,NEW,SWT,P3
[copy/paste] if a stereotype has composite association the copy paste of stereotyped element does not works correctly,Papyrus,Linux,CLOSED,Core,P3
adapt searchtext widget to current swt,Statet,All,CLOSED,General,P3
[dark theme] remove special styling for .mtrimmedwindow and .mtrimbar,Platform,Linux,RESOLVED,UI,P3
menu in toolbar is disabled,Platform,All,CLOSED,UI,P3
[dark theme] always style hyperlink and imagehyperlink,Platform,Linux,RESOLVED,UI,P3
[r-dataeditor] indexoutofboundsexception in textvariablefilter,Statet,All,CLOSED,Other,P3
[widget] text of dropdownbutton is clipped,Statet,All,CLOSED,General,P3
open resource dialog should better handle paths,Platform,All,RESOLVED,UI,P3
open resource dialog should take paths into consideration.,Platform,Mac OS X,CLOSED,UI,P3
replace usage of abstractuiplugin.getworkbench(),Platform,All,RESOLVED,IDE,P3
replace usage of abstractuiplugin.getworkbench(),CBI,All,RESOLVED,Other,P3
replace usage of abstractuiplugin.getworkbench(),EGit,All,RESOLVED,UI,P3
replace usage of abstractuiplugin.getworkbench(),JDT,All,VERIFIED,Debug,P3
have attempted to email license@eclipse.org but my message was rejected by mail.eclipse.org.,Community,Windows 10,RESOLVED,Other,P3
initialize hover and completion client capabilities for markdown support,lsp4e,All,RESOLVED,IDE,P3
npe when a remote user deletes a diagram,Sirius,Windows 10,CLOSED,Core,P3
add a merge requirement on,Community,Mac OS X,CLOSED,GitHub,P3
[dark theme] simplify .mpartstack styling css,Platform,Linux,RESOLVED,UI,P3
[dark theme] move workaround for logview text search to a general setting,Platform,Linux,RESOLVED,UI,P3
[niconsole] use configurable range indicator color of text editors for prompt highlighting,Statet,All,CLOSED,Other,P3
i get java.net.socketexception: permission denied: connect when launching tomcat server in eclipse luna,Platform,Windows 10,CLOSED,Runtime,P3
[npe] document uri may be null in highlightreconcilingstrategy,lsp4e,Mac OS X,RESOLVED,General,P3
avoid scr circular reference with org.eclipse.ecf.mgmt.rsa.discovery.ui.discovery component,ECF,Windows 10,RESOLVED,Other,P3
[niconsole] use (customizable) solid color for prompt highlighting,Statet,All,CLOSED,Other,P3
"expose java stack trace console in ""find actions..."" / quick search",JDT,All,NEW,Debug,P3
[jslp] by default disable jslp discovery in eclipse,ECF,Windows 10,RESOLVED,Other,P3
"""potential resource leak"" erroneously reported within for-loop",JDT,Linux,CLOSED,Core,P3
delete folder from git repo history,Community,Mac OS X,CLOSED,Other,P3
"eclipse top level project ""getting started"" link 404",Community,Windows 10,RESOLVED,Website,P3
use assertj and junit 5,EGit,Windows 10,NEW,Releng,P3
whitespace removed from the beginning of a text block,JDT,Windows 7,RESOLVED,Core,P3
create connection propertysheet not shown in subapp and cfb type editor,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
on fb creation the position does not follow the snap to grid option,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
make codecov github app available for /eclipse/passage project hosted at github,Community,All,CLOSED,GitHub,P3
structure grid with regular solid lines,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
"should the dspprocess be added to the launch when ""attach"" is used?",lsp4e,All,RESOLVED,Other,P3
[doc] stale reference to update suite for astview,JDT,All,VERIFIED,UI,P3
[cleanup & saveaction] rename 1.7 tests to avoid future conflict,JDT,All,RESOLVED,UI,P3
[cleanup & saveaction] finish to move java 1.5 tests in their own test class,JDT,All,RESOLVED,UI,P3
microsoft visual studio 2017 error parser,CDT,Windows 10,CLOSED,Other,P3
[autorefactor immigration #14/118] [cleanup & saveaction] number suffix in uppercase,JDT,All,VERIFIED,UI,P3
inadequate breakpoint save,JDT,Windows 10,NEW,Debug,P3
network problem,MPC,Windows 10,NEW,Other,P3
sha512 checksum does not match for sdk download 4.13,Platform,Mac OS X,CLOSED,Releng,P3
[cleanup & saveaction] should add fully qualified name when adding conflicting class name,JDT,All,VERIFIED,UI,P3
cdt indexer started complaining on literal operator template for string udl,CDT,Linux,CLOSED,Other,P3
the --patch-module „patch with“ button of the module dependencies tab displays an empty list,JDT,Windows 10,NEW,Core,P3
"https://ci.eclipse.org/oomph is not usable ""bad message 431 reason: request header fields too large""",Community,Windows 7,CLOSED,CI-Jenkins,P3
match partial ref names in ref content completion,EGit,Windows 10,NEW,UI,P3
support core.quotepath in diffformatter (egit history view do not show cyrillic file names correctly),JGit,All,RESOLVED,JGit,P3
npe in link handlers,Platform,Linux,NEW,UI,P3
[dark theme] always style toolbar to inherit instead of only special cases,Platform,Linux,RESOLVED,UI,P3
please change the owner of cdo's downloads from estepper to genie.cdo,Community,Windows 7,CLOSED,Other,P3
dialog 'market solutions available': button 'show solution' too small,MPC,All,RESOLVED,Other,P3
copying from eclipse console and pasting directly into gnumeric truncates long selections,Platform,Linux,NEW,SWT,P3
[dark theme] delete unnecessary css spy related css styling,Platform,Linux,CLOSED,UI,P3
npe in the generic editor,Platform,All,RESOLVED,Text,P3
[dark theme] remove workaround for bug 419482,Platform,Linux,RESOLVED,UI,P3
save actions: tokenmanager throws stringindexoutofboundsexception,JDT,Windows 10,CLOSED,Core,P3
[classdiagram] informationflow ends are increasing when moving the relation ends in a diagram,Papyrus,Windows 7,NEW,Diagram,P3
"an internal error occurred during: ""calculating scanner info",CDT,Linux,RESOLVED,Other,P3
update from junit 4 to junit 5 and assertj or truth for assertions,JGit,Mac OS X,NEW,JGit,P3
new c project wizard fails to overwrite existing project with same name but different case,CDT,Windows 10,RESOLVED,Other,P3
please create eclipse/codewind-intellij repository,Community,Mac OS X,CLOSED,GitHub,P3
monitoring of different instance of cfb gives the same values,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
add parameter to specify the hostname in addition to the interface name for corbafileserver,MDMBL,Windows 10,CLOSED,General,P3
installation failed due to connexion timeout,Oomph,Windows 10,RESOLVED,Other,P3
@priority not honored on providers,Sisu,All,NEW,Other,P3
empty aspectbinding may trigger npe,Objectteams,All,RESOLVED,Other,P3
failing builds - mockjavaproject needs ijavaproject.getownmoduledescription(),Java Server Faces,All,RESOLVED,Core,P3
[otdre] abstractboundclass does not find its superclass,Objectteams,All,RESOLVED,Other,P3
